  -3.362 -1.450  1.500  0.375  1.638  1.499  1.488  1.186  and-1
   1.525 -0.950 -1.750 -0.475 -1.000 -0.575  1.488 -0.500  and-11
  -1.525 -2.525 -2.388 -0.550  0.350  0.550  1.638 -0.138  bas-6
  -0.048 -2.625 -0.050  0.400  0.438 -0.125  2.750 -2.000  bas-11
  -0.275  0.536  0.977 -0.691  1.475  0.463  1.797  0.786  dio-1
   0.950  0.902  2.113  1.863  0.013  2.174  0.238  3.900  dio-7
  -0.387  1.400  0.937 -0.662  1.076  0.313  1.548  1.563  gab-3
  -2.137 -1.025 -0.475  1.400 -0.536  0.273  1.688  0.787  gab-9
   0.924  1.577  1.162 -0.113  0.300  4.262 -0.250  0.550  gra-3
  -0.050  1.836  0.400  1.463 -0.662  4.463 -1.438  1.325  gra-9
  -1.669 -1.790 -0.564  5.050 -1.800  1.778  0.363  1.400  obs-5
  -2.150 -2.463 -0.687  4.975  0.787  3.600 -0.137  0.088  obs-6
   0.588 -0.500 -1.575  2.937 -2.113  4.300  4.050  2.025  peg-3
   1.298  0.000 -1.163  3.000 -2.337  4.536  4.737  1.763  peg-9
   0.088  1.350  1.313  1.725 -1.488  3.462  5.225  1.150  per-6
  -0.037  1.225  1.100 -0.487 -0.500  2.175  5.275  0.800  per-7
   3.687 -1.714  3.075 -1.200  0.150  2.663  0.650 -0.175  pum-1
   2.075 -3.287  2.100 -1.200 -0.275  3.800  0.802  1.037  pum-3
   1.025  1.738 -0.163 -1.525  0.227  1.500 -0.625 -1.625  rhy-2
   1.850 -2.675 -1.725 -2.263  1.163  5.037 -0.238  0.762  rhy-8
  -2.912 -0.662 -0.375 -1.352  1.538 -0.050  2.887 -0.775  amph-6
  -0.152  2.600  0.062  2.275 -1.925  2.175  3.962  2.662  amph-12
  -2.711 -2.961 -1.362  2.687  0.463  1.139  1.700  0.575  anth-1
  -2.013 -1.500 -0.850  3.025 -0.600  0.875  2.188  2.038  anth-13
   0.625  1.025  0.162 -0.850  2.275  2.164  0.812  2.000  gneiss-10
  -0.148 -2.350 -0.675 -1.000  1.475  4.300  1.012  5.000  gneiss-15
  -0.252 -2.478 -3.175 -1.102  1.025 -0.283  2.975 -1.266  horn-2
  -2.661 -2.762 -3.164  1.766 -0.850  0.900  2.450  0.548  horn-5
   2.362  0.402  1.442  0.773  0.012  0.636  3.050  0.375  marb-1
   2.077 -0.613  0.793  1.088  1.838  6.450 -0.425 -0.737  marb-8
   0.837  0.100 -1.625  0.875  1.588  0.425  1.400  2.962  mig-15
  -0.175  0.062 -1.450  0.537  0.812  0.812  3.437  2.800  mig-16
  -0.761 -2.186 -1.873 -0.150  0.897  3.225  5.072  0.862  phy-7
   0.686 -3.345 -3.225 -1.838  2.013  2.889  1.963  2.575  phy-10
   0.700  0.936 -3.410 -1.002  1.761  5.400 -1.063 -1.650  quartz-11
   2.063  0.297 -1.051 -2.262  0.814  2.900 -1.611  1.525  quartz-13
   1.788 -1.238 -2.275 -0.862  2.587  0.138  2.150  2.487  sch-1
  -1.775 -1.225  0.400 -0.275 -0.400  5.062  1.238  2.550  sch-13
  -1.677 -3.734 -2.837 -0.075  0.352  0.900  1.137  0.300  slate-6
   2.128 -3.947 -3.924  0.188 -0.575 -0.275  2.712  0.137  slate-11
  -2.325 -1.950 -1.763  3.325 -0.200  0.462  0.700  0.087  bitum-2
  -2.102 -2.877 -0.977  0.927 -0.812  1.628  1.600  0.525  bitum-6
   0.600  1.950 -1.737  1.562 -1.938  5.025 -0.175 -1.487  brec-8
   0.350  0.700 -1.863  0.450 -2.975  4.437 -1.150  0.312  brec-13
   2.225 -4.175 -3.312  0.388  0.288  0.525  3.162  0.175  chert-4
  -2.350 -1.162 -1.498  1.037 -0.350  4.375 -2.800  1.898  chert-15
   1.137  0.550  0.575  0.650 -3.250  4.389  2.600  1.738  cong-8
   0.225 -2.638 -2.898 -0.636 -1.463  1.861  1.988  2.838  cong-12
   2.363 -2.514 -3.300 -2.313  0.489  3.337  3.312  0.750  dolo-1
   2.987 -3.150 -1.725 -1.475 -0.488  1.602  2.675  0.862  dolo-12
   3.164 -2.513  0.527 -1.189  0.624  0.373  0.462  1.575  mic-2
   2.298 -2.163 -2.102  0.962 -1.925  1.488  1.312  2.663  mic-8
   3.250 -1.274 -3.200  2.775  0.138  0.137  0.437 -0.950  gyp-3
   2.238 -1.975 -2.875  4.362 -0.214  0.500  0.962  1.400  gyp-9
   3.525 -0.986  0.275  4.612 -2.488  1.775  0.363  1.050  salt-14
   3.950 -1.050 -0.662  4.112 -2.952  0.575  0.637  0.712  salt-15
   2.314 -1.237 -1.773 -0.487  3.025  4.486 -0.850  2.525  sand-6
  -0.222 -2.475  0.275 -1.561  0.573  7.162  0.437  0.250  sand-15
  -2.238 -1.913 -1.025  0.351 -0.526  2.163  2.788  2.100  shale-2
  -0.173 -2.738 -3.825 -1.175 -0.263  0.725  1.262  1.112  shale-5

8-dimensional MDS solution with respect to rocks-480 for the 60 photoshopped rocks
being used in Brian's dissertation project
